"Orden";"Símbolo";"Nombre";"Numero Atomico";"Grupo";"Periodo";"Tipo";"Subtipo";"Estado";"Valencia";"peso atómico
(uma)";"density g/mL";"Punto Ebullicion";"Punto Fusion";"peso atómico
(uma)";"Cant_Val";"Nombre_ESP";"Oxidos_ESP";"Hidruros_ESP";"Hidroxidos_ESP";"Hidracidos_ESP";"Oxosales_ESP";"Sales_ESP"
82;"Pb";"Plomo";82;14;6;"Metal";"Lantánidos";"Sólido";"2;4";"207.2";"11.4";1740;"327.5";"207.2";2;"Plomo";"Plomoso; Plómico";"Plomoso; Plómico";"Plomoso; Plómico";"Plomoso; Plómico";"Plomoso; Plómico";"Plomoso; Plómico"
83;"Bi";"Bismuto";83;15;6;"Metal";"Lantánidos";"Sólido";"3;5";"208.9804";"9.75";1560;271;"208.9804";2;"Bismuto";"Bismutoso; Bismútico";"Bismutoso; Bismútico";"Bismutoso; Bismútico";"Bismutoso; Bismútico";"Bismutoso; Bismútico";"Bismutoso; Bismútico"
84;"Po";"Polonio";84;16;6;"Metaloide";"-";"Sólido";"2;4";209;"9.32";962;254;209;2;"Polonio";"Polonioso; Polónico";"Polonioso; Polónico";"Polonioso; Polónico";"Polonioso; Polónico";"Polonioso; Polónico";"Poloniuro"
85;"At";"Astato";85;17;6;"No Metal";"Halógenos";"Sólido";"1;3;5;7";210;;337;302;210;4;"Astato";"Astatoso; Astático";"Astatoso; Astático";"Astatoso; Astático";"Astatoso; Astático";"Astatito; Astato";"Astatuto"
86;"Rn";"Radón";86;18;6;"Gas Noble";"-";"Gas";0;222;"0.00973";"-61.8";-71;222;1;"Radón";"Radón";"Radón";"Radón";"Radón";"Radón";"Radón"
87;"Fr";"Francio";87;1;7;"Metal";"Alcalinos";"Líquido";1;223;;677;27;223;1;"Francio";"Francio";"Francio";"Francio";"Francio";"Francio";"Francio"
88;"Ra";"Radio";88;2;7;"Metal";"Alcalinotérreos";"Sólido";2;226;5;1140;700;226;1;"Radio";"Radio";"Radio";"Radio";"Radio";"Radio";"Radio"
89;"Ac";"Actinio";89;3;7;"Metal";"Actínidos";"Sólido";3;227;"10.1";3200;1050;227;1;"Actinio";"Actinio";"Actinio";"Actinio";"Actinio";"Actinio";"Actinio"
90;"Th";"Torio";90;3;7;"Metal";"Actínidos";"Sólido";4;"232.0377";"11.7";4790;1750;"232.0377";1;"Torio";"Torio";"Torio";"Torio";"Torio";"Torio";"Torio"
91;"Pa";"Protactinio";91;3;7;"Metal";"Actínidos";"Sólido";"4;5";"231.03588";"15.4";4000;1570;"231.03588";2;"Protactinio";"Protactinioso; Protactínico";"Protactinioso; Protactínico";"Protactinioso; Protactínico";"Protactinioso; Protactínico";"Protactinioso; Protactínico";"Protactinioso; Protactínico"
92;"U";"Uranio";92;3;7;"Metal";"Actínidos";"Sólido";"3;4;5;6";"238.02891";19;3818;1132;"238.02891";4;"Uranio";"Uranioso; Uránico";"Uranioso; Uránico";"Uranioso; Uránico";"Uranioso; Uránico";"Uranioso; Uránico";"Uranioso; Uránico"
93;"Np";"Neptunio";93;3;7;"Metal";"Actínidos";"???";"3;4;5;6";237;"20.2";3900;640;237;4;"Neptunio";"Neptunioso; Neptúnico";"Neptunioso; Neptúnico";"Neptunioso; Neptúnico";"Neptunioso; Neptúnico";"Neptunioso; Neptúnico";"Neptunioso; Neptúnico"
94;"Pu";"Plutonio";94;3;7;"Metal";"Actínidos";"???";"3;4;5;6";244;"19.8";3232;641;244;4;"Plutonio";"Plutonioso; Plutónico";"Plutonioso; Plutónico";"Plutonioso; Plutónico";"Plutonioso; Plutónico";"Plutonioso; Plutónico";"Plutonioso; Plutónico"
95;"Am";"Americio";95;3;7;"Metal";"Actínidos";"???";"3;4;5;6";243;"13.7";2607;994;243;4;"Americio";"Americioso; Américo";"Americioso; Américo";"Americioso; Américo";"Americioso; Américo";"Americioso; Américo";"Americioso; Américo"
96;"Cm";"Curio";96;3;7;"Metal";"Actínidos";"???";3;247;"13.5";;1340;247;1;"Curio";"Curio";"Curio";"Curio";"Curio";"Curio";"Curio"
97;"Bk";"Berkelio";97;3;7;"Metal";"Actínidos";"???";"3;4";247;14;;986;247;2;"Berkelio";"Berkelioso; Berkélico";"Berkelioso; Berkélico";"Berkelioso; Berkélico";"Berkelioso; Berkélico";"Berkelioso; Berkélico";"Berkelioso; Berkélico"
98;"Cf";"Californio";98;3;7;"Metal";"Actínidos";"???";3;251;;;;251;1;"Californio";"Californio";"Californio";"Californio";"Californio";"Californio";"Californio"
99;"Es";"Einstenio";99;3;7;"Metal";"Actínidos";"???";4;252;;;;252;1;"Einstenio";"Einstenio";"Einstenio";"Einstenio";"Einstenio";"Einstenio";"Einstenio"
100;"Fm";"Fermio";100;3;7;"Metal";"Actínidos";"???";4;257;;;;257;1;"Fermio";"Fermio";"Fermio";"Fermio";"Fermio";"Fermio";"Fermio"
101;"Md";"Mendelevio";101;3;7;"Metal";"Actínidos";"???";"3;4";258;;;;258;2;"Mendelevio";"Mendelevioso; Mendelévico";"Mendelevioso; Mendelévico";"Mendelevioso; Mendelévico";"Mendelevioso; Mendelévico";"Mendelevioso; Mendelévico";"Mendelevioso; Mendelévico"
